,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
174,"everything i wanted","Billie Eilish",782001,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
175,"Be Kind (with Halsey)",Marshmello,780283,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
176,Safaera,"Bad Bunny",779676,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
177,"All of Me","John Legend",778001,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
178,"Me Gusta (with Cardi B & Myke Towers)",Anitta,769223,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
179,"Godzilla (feat. Juice WRLD)",Eminem,768350,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
180,Nada,"Cali Y El Dandee",764479,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
181,"rockstar (feat. 21 Savage)","Post Malone",763448,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
182,"Say So","Doja Cat",762483,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
183,Favorito,Camilo,761018,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
184,"Daddy Issues","The Neighbourhood",754759,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
185,"After Party","Don Toliver",754471,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
186,"Be Alright","Dean Lewis",753332,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
187,Rojo,"J Balvin",750743,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
188,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,745376,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
189,"Party In The U.S.A.","Miley Cyrus",741938,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
190,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",740553,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
191,"THE BADDEST",K/DA,738963,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
192,"Last Christmas",Wham!,738871,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
193,"my hair","Ariana Grande",738125,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
194,"In Your Eyes","The Weeknd",735897,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
195,"THE SCOTTS","THE SCOTTS",733486,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
196,"Mr. Right Now (feat. Drake)","21 Savage",733060,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
197,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","The Kid LAROI",732606,https://open.spotify.com/track/0DYNL4xbYWgNzppUamtyR4
198,"Got It On Me","Pop Smoke",726408,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
199,"Basta Você Me Ligar (feat. Xand Avião) - Ao Vivo","Os Barões Da Pisadinha",725072,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
200,Goosebumps,HVME,720619,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
